TimeP,Date.Time,Date,Time,Tank,PAR
IN,8/17/2021 11:10,8/17/2021,11:10:00,H1,1483
IN,8/17/2021 11:10,8/17/2021,11:10:00,C2,1504
IN,8/17/2021 11:20,8/17/2021,11:20:00,H1,1606
IN,8/17/2021 11:20,8/17/2021,11:20:00,C2,1596
IN,8/17/2021 11:30,8/17/2021,11:30:00,H1,1707
IN,8/17/2021 11:30,8/17/2021,11:30:00,C2,1634
IN,8/17/2021 11:40,8/17/2021,11:40:00,H1,1780
IN,8/17/2021 11:40,8/17/2021,11:40:00,C2,1710
IN,8/17/2021 11:50,8/17/2021,11:50:00,H1,1653
IN,8/17/2021 11:50,8/17/2021,11:50:00,C2,397
IN,8/17/2021 12:00,8/17/2021,12:00:00,H1,623
IN,8/17/2021 12:00,8/17/2021,12:00:00,C2,163
IN,8/17/2021 12:10,8/17/2021,12:10:00,H1,322
IN,8/17/2021 12:10,8/17/2021,12:10:00,C2,340
IN,8/17/2021 12:20,8/17/2021,12:20:00,H1,601
IN,8/17/2021 12:20,8/17/2021,12:20:00,C2,676
IN,8/17/2021 12:30,8/17/2021,12:30:00,H1,601
IN,8/17/2021 12:30,8/17/2021,12:30:00,C2,648
IN,8/17/2021 12:40,8/17/2021,12:40:00,H1,386
IN,8/17/2021 12:40,8/17/2021,12:40:00,C2,356
IN,8/17/2021 12:50,8/17/2021,12:50:00,H1,322
IN,8/17/2021 12:50,8/17/2021,12:50:00,C2,410
IN,8/17/2021 13:00,8/17/2021,13:00:00,H1,158
IN,8/17/2021 13:00,8/17/2021,13:00:00,C2,309
IN,8/17/2021 13:10,8/17/2021,13:10:00,H1,161
IN,8/17/2021 13:10,8/17/2021,13:10:00,C2,264
IN,8/17/2021 13:20,8/17/2021,13:20:00,H1,114
IN,8/17/2021 13:20,8/17/2021,13:20:00,C2,74
IN,8/17/2021 13:30,8/17/2021,13:30:00,H1,462
IN,8/17/2021 13:30,8/17/2021,13:30:00,C2,156
IN,8/17/2021 13:40,8/17/2021,13:40:00,H1,825
IN,8/17/2021 13:40,8/17/2021,13:40:00,C2,188
IN,8/17/2021 13:50,8/17/2021,13:50:00,H1,970
IN,8/17/2021 13:50,8/17/2021,13:50:00,C2,245
IN,8/17/2021 14:00,8/17/2021,14:00:00,H1,401
IN,8/17/2021 14:00,8/17/2021,14:00:00,C2,118
IN,8/17/2021 14:10,8/17/2021,14:10:00,H1,205
IN,8/17/2021 14:10,8/17/2021,14:10:00,C2,283
IN,8/17/2021 14:20,8/17/2021,14:20:00,H1,335
IN,8/17/2021 14:20,8/17/2021,14:20:00,C2,401
IN,8/17/2021 14:30,8/17/2021,14:30:00,H1,338
IN,8/17/2021 14:30,8/17/2021,14:30:00,C2,397
IN,8/17/2021 14:40,8/17/2021,14:40:00,H1,89
IN,8/17/2021 14:40,8/17/2021,14:40:00,C2,106
IN,8/17/2021 14:50,8/17/2021,14:50:00,H1,237
IN,8/17/2021 14:50,8/17/2021,14:50:00,C2,188
IN,8/17/2021 15:00,8/17/2021,15:00:00,H1,70
IN,8/17/2021 15:00,8/17/2021,15:00:00,C2,144
IN,8/17/2021 15:10,8/17/2021,15:10:00,H1,60
IN,8/17/2021 15:10,8/17/2021,15:10:00,C2,74
IN,8/17/2021 15:20,8/17/2021,15:20:00,H1,44
IN,8/17/2021 15:20,8/17/2021,15:20:00,C2,68
IN,8/17/2021 15:30,8/17/2021,15:30:00,H1,28
IN,8/17/2021 15:30,8/17/2021,15:30:00,C2,55
IN,8/17/2021 15:40,8/17/2021,15:40:00,H1,190
IN,8/17/2021 15:40,8/17/2021,15:40:00,C2,324
IN,8/17/2021 15:50,8/17/2021,15:50:00,H1,107
IN,8/17/2021 15:50,8/17/2021,15:50:00,C2,137
IN,8/17/2021 16:00,8/17/2021,16:00:00,H1,152
IN,8/17/2021 16:00,8/17/2021,16:00:00,C2,213
IN,8/17/2021 16:10,8/17/2021,16:10:00,H1,149
IN,8/17/2021 16:10,8/17/2021,16:10:00,C2,232
IN,8/17/2021 16:20,8/17/2021,16:20:00,H1,149
IN,8/17/2021 16:20,8/17/2021,16:20:00,C2,305
IN,8/17/2021 16:30,8/17/2021,16:30:00,H1,123
IN,8/17/2021 16:30,8/17/2021,16:30:00,C2,445
IN,8/17/2021 16:40,8/17/2021,16:40:00,H1,142
IN,8/17/2021 16:40,8/17/2021,16:40:00,C2,267
IN,8/17/2021 16:50,8/17/2021,16:50:00,H1,155
IN,8/17/2021 16:50,8/17/2021,16:50:00,C2,169
IN,8/17/2021 17:00,8/17/2021,17:00:00,H1,92
IN,8/17/2021 17:00,8/17/2021,17:00:00,C2,109
IN,8/17/2021 17:10,8/17/2021,17:10:00,H1,70
IN,8/17/2021 17:10,8/17/2021,17:10:00,C2,99
IN,8/17/2021 17:20,8/17/2021,17:20:00,H1,63
IN,8/17/2021 17:20,8/17/2021,17:20:00,C2,90
IN,8/17/2021 17:30,8/17/2021,17:30:00,H1,38
IN,8/17/2021 17:30,8/17/2021,17:30:00,C2,58
IN,8/17/2021 17:40,8/17/2021,17:40:00,H1,95
IN,8/17/2021 17:40,8/17/2021,17:40:00,C2,229
IN,8/17/2021 17:50,8/17/2021,17:50:00,H1,73
IN,8/17/2021 17:50,8/17/2021,17:50:00,C2,321
IN,8/17/2021 18:00,8/17/2021,18:00:00,H1,73
IN,8/17/2021 18:00,8/17/2021,18:00:00,C2,141
IN,8/17/2021 18:10,8/17/2021,18:10:00,H1,63
IN,8/17/2021 18:10,8/17/2021,18:10:00,C2,99
IN,8/17/2021 18:20,8/17/2021,18:20:00,H1,0
IN,8/17/2021 18:20,8/17/2021,18:20:00,C2,0
IN,8/17/2021 18:30,8/17/2021,18:30:00,H1,0
IN,8/17/2021 18:30,8/17/2021,18:30:00,C2,0
IN,8/17/2021 18:40,8/17/2021,18:40:00,H1,0
IN,8/17/2021 18:40,8/17/2021,18:40:00,C2,0
IN,8/17/2021 18:50,8/17/2021,18:50:00,H1,0
IN,8/17/2021 18:50,8/17/2021,18:50:00,C2,0
