ID,Fraction,RandN,InVol_ml,Pan_g,Dried_g,Burned_g
S10_N_12,C,1,4,1.015,1.066,1.061
S10_N_12,Z,1,5,1.005,1.021,1.016
K10_N_12,C,2,4,1.016,1.067,1.062
K10_N_12,Z,2,5,1.014,1.028,1.026
K10_T_11,C,3,4,1.017,1.075,1.067
K10_T_11,Z,3,5,1.029,1.048,1.042
K12_T_10,C,4,4,1.039,1.098,1.09
K12_T_10,Z,4,5,1.021,1.042,1.034
S8_T_9,C,5,4,0.971,1.045,1.032
S8_T_9,Z,5,5,0.992,1.016,1.005
K8_N_9,C,6,4,1.035,1.09,1.082
K8_N_9,Z,6,5,1.048,1.068,1.061
S8_N_11,C,7,4,1.047,1.099,1.094
S8_N_11,Z,7,5,1.013,1.028,1.025
K8_T_10,C,8,4,1.012,1.068,1.062
K8_T_10,Z,8,5,1.01,1.03,1.023
S8_T_11,C,9,4,1.018,1.063,1.058
S8_T_11,Z,9,5,1.019,1.039,1.034
S10_T_10,C,10,4,1.017,1.066,1.059
S10_T_10,Z,10,5,1.003,1.025,1.019
S8_T_10,C,11,4,1.003,1.063,1.055
S8_T_10,Z,11,5,1.014,1.032,1.026
S10_N_10,C,12,4,1,1.056,1.048
S10_N_10,Z,12,5,1.017,1.034,1.029
S10_N_9,C,13,4,1.014,1.073,1.065
S10_N_9,Z,13,5,1.023,1.041,1.035
S12_T_10,C,14,4,1.012,1.069,1.062
S12_T_10,Z,14,5,1.012,1.027,1.023
S12_N_12,C,15,4,1.017,1.08,1.069
S12_N_12,Z,15,5,1.007,1.026,1.02
S10_T_11,C,16,4,1.014,1.073,1.064
S10_T_11,Z,16,5,1.026,1.046,1.037
K10_T_10,C,17,4,1,1.069,1.057
K10_T_10,Z,17,5,1.055,1.077,1.067
S10_T_9,C,18,4,1.038,1.098,1.087
S10_T_9,Z,18,5,1.014,1.035,1.026
K12_N_10,C,19,4,0.993,1.058,1.047
K12_N_10,Z,19,5,1.007,1.025,1.017
S12_N_11,C,20,4,1,1.046,1.043
S12_N_11,Z,20,5,1.003,1.017,1.013
K12_T_12,C,21,4,1.002,1.065,1.056
K12_T_12,Z,21,5,1,1.018,1.011
K10_N_11,C,22,4,1.063,1.125,1.114
K10_N_11,Z,22,5,1.035,1.053,1.05
S8_T_12,C,23,4,1.026,1.084,1.075
S8_T_12,Z,23,5,1.029,1.048,1.041
S8_N_10,C,24,4,1.026,1.084,1.076
S8_N_10,Z,24,5,1.021,1.04,1.033
S12_T_9,C,25,4,1.014,1.066,1.059
S12_T_9,Z,25,5,1.017,1.029,1.029
S12_N_9,C,26,4,1.022,1.094,1.077
S12_N_9,Z,26,5,0.999,1.017,1.01
S12_N_10,C,27,4,1.018,1.09,1.077
S12_N_10,Z,27,5,0.998,1.022,1.01
K12_T_11,C,28,4,0.991,1.06,1.043
K12_T_11,Z,28,5,1.006,1.026,1.017
S12_T_12,C,29,4,1.004,1.068,1.054
S12_T_12,Z,29,5,0.991,1.011,1.004
S12_T_11,C,30,4,0.999,1.063,1.049
S12_T_11,Z,30,5,1.029,1.05,1.041
K8_N_11,C,31,4,1.03,1.094,1.085
K8_N_11,Z,31,5,1.031,1.05,1.044
K10_T_12,C,32,4,1,1.062,1.051
K10_T_12,Z,32,5,1.015,1.035,1.027
S8_N_9,C,33,4,1.012,1.071,1.062
S8_N_9,Z,33,5,1.006,1.025,1.018
K10_N_9,C,34,4,1.113,1.17,1.161
K10_N_9,Z,34,5,1.128,1.144,1.14
K12_N_11,C,35,4,1.116,1.186,1.173
K12_N_11,Z,35,5,1.105,1.127,1.117
S10_N_11,C,36,4,1.111,1.161,1.155
S10_N_11,Z,36,5,1.11,1.132,1.124
K8_N_10,C,37,4,1.116,1.176,1.169
K8_N_10,Z,37,5,1.113,1.134,1.127
K8_T_11,C,38,4,1.125,1.186,1.178
K8_T_11,Z,38,5,1.112,1.129,1.124
K8_N_12,C,39,4,1.107,1.153,1.149
K8_N_12,Z,39,5,1.111,1.128,1.124
K10_N_10,C,40,4,1.123,1.185,1.175
K10_N_10,Z,40,5,1.125,1.152,1.141
K10_T_9,C,41,4,1.114,1.174,1.163
K10_T_9,Z,41,5,1.13,1.148,1.141
K8_T_12,C,42,4,1.126,1.186,1.175
K8_T_12,Z,42,5,1.117,1.134,1.129
K12_N_9,C,43,4,1.119,1.179,1.171
K12_N_9,Z,43,5,1.119,1.137,1.131
K8_T_9,C,44,4,1.105,1.176,1.164
K8_T_9,Z,44,5,1.12,1.141,1.133
S8_N_12,C,45,2.8,1.11,1.153,1.147
S8_N_12,Z,45,3.8,1.126,1.143,1.138
S10_T_12,C,46,4,1.111,1.164,1.157
S10_T_12,Z,46,5,1.119,1.132,1.128
K12_T_9,C,47,4,1.113,1.185,1.169
K12_T_9,Z,47,5,1.111,1.137,1.125
K12_N_12,C,48,4,1.126,1.198,1.18
K12_N_12,Z,48,5,1.113,1.141,1.129
S12_N_5,C,49,4,1.12,1.19,1.176
S12_N_5,Z,49,5,1.116,1.144,1.132
K12_T_7,C,50,4,1.127,1.203,1.186
K12_T_7,Z,50,5,1.136,1.163,1.15
K8_N_8,C,51,4,1.123,1.193,1.181
K8_N_8,Z,51,5,1.122,1.142,1.135
K10_N_6,C,52,4,1.104,1.175,1.163
K10_N_6,Z,52,5,1.114,1.134,1.126
S10_T_7,C,53,4,1.124,1.173,1.168
S10_T_7,Z,53,5,1.13,1.144,1.14
S12_N_6,C,54,4,1.109,1.162,1.155
S12_N_6,Z,54,5,1.124,1.14,1.135
K12_N_8,C,55,4,1.114,1.18,1.167
K12_N_8,Z,55,5,1.11,1.132,1.123
S8_N_5,C,56,4,1.12,1.194,1.18
