Date,Site,Task,TimeP
8/2/2021,Both,Transplant,T0
8/16/2021,Both,Sample,TP1
8/17/2021,Both,Thermal,IN
8/26/2021,KL,Growth,TP1
8/27/2021,SS,Growth,TP1
8/29/2021,Both,Sample,M1
8/30/2021,Both,Thermal,TP1
12/8/2021,SS,Growth,TP2
12/9/2021,KL,Growth,TP2
12/9/2021,Both,Thermal,TP2
12/13/2021,Both,Sample,TP2
3/24/2022,Both,Thermal,TP3
3/27/2022,Both,Sample,TP3
3/27/2022,SS,Growth,TP3
3/28/2022,KL,Growth,TP3
8/3/2022,SS,Growth,TP4
8/4/2022,Both,Thermal,TP4
8/4/2022,KL,Growth,TP4
8/7/2022,Both,Sample,TP4
