Row,Column,Well,Plate,RandN,Rep,A630,A663,A750
A,1,A1,1A,1,A,0.047,0.078,0.039
B,1,B1,1A,2,A,0.051,0.081,0.042
C,1,C1,1A,3,A,0.067,0.142,0.042
D,1,D1,1A,4,A,0.058,0.12,0.04
E,1,E1,1A,5,A,0.093,0.225,0.044
F,1,F1,1A,6,A,0.061,0.122,0.042
G,1,G1,1A,7,A,0.054,0.107,0.036
H,1,H1,1A,8,A,0.058,0.117,0.038
A,2,A2,1A,9,A,0.065,0.127,0.045
B,2,B2,1A,10,A,0.062,0.108,0.049
C,2,C2,1A,11,A,0.081,0.183,0.043
D,2,D2,1A,12,A,0.061,0.107,0.047
E,2,E2,1A,13,A,0.057,0.107,0.041
F,2,F2,1A,14,A,0.065,0.121,0.044
G,2,G2,1A,15,A,0.07,0.152,0.041
H,2,H2,1A,16,A,0.065,0.12,0.046
A,3,A3,1A,17,A,0.077,0.158,0.047
B,3,B3,1A,18,A,0.073,0.153,0.046
C,3,C3,1A,19,A,0.073,0.149,0.051
D,3,D3,1A,20,A,0.051,0.075,0.046
E,3,E3,1A,21,A,0.073,0.155,0.047
F,3,F3,1A,22,A,0.059,0.115,0.044
G,3,G3,1A,23,A,0.067,0.137,0.044
H,3,H3,1A,24,A,0.074,0.167,0.046
A,4,A4,1A,25,A,0.055,0.097,0.044
B,4,B4,1A,26,A,0.095,0.215,0.044
C,4,C4,1A,27,A,0.095,0.233,0.043
D,4,D4,1A,28,A,0.08,0.186,0.044
E,4,E4,1A,29,A,0.071,0.149,0.041
F,4,F4,1A,30,A,0.073,0.167,0.042
G,4,G4,1A,31,A,0.062,0.123,0.044
H,4,H4,1A,32,A,0.067,0.127,0.046
A,5,A5,1A,33,A,0.08,0.174,0.051
B,5,B5,1A,34,A,0.059,0.109,0.043
C,5,C5,1A,35,A,0.08,0.189,0.043
D,5,D5,1A,36,A,0.059,0.112,0.043
E,5,E5,1A,37,A,0.07,0.148,0.042
F,5,F5,1A,38,A,0.056,0.113,0.042
G,5,G5,1A,39,A,0.05,0.085,0.042
H,5,H5,1A,40,A,0.072,0.156,0.045
A,6,A6,1A,41,A,0.067,0.134,0.047
B,6,B6,1A,42,A,0.061,0.125,0.043
C,6,C6,1A,43,A,0.07,0.151,0.043
D,6,D6,1A,44,A,0.072,0.165,0.044
E,6,E6,1A,45,A,0.085,0.214,0.042
F,6,F6,1A,46,A,0.05,0.082,0.042
G,6,G6,1A,47,A,0.08,0.186,0.043
H,6,H6,1A,48,A,0.09,0.222,0.045
A,7,A7,1A,49,A,0.079,0.176,0.047
B,7,B7,1A,50,A,0.09,0.204,0.044
C,7,C7,1A,51,A,0.064,0.122,0.046
D,7,D7,1A,52,A,0.059,0.105,0.045
