ID,Orig,Origin,Genotype,Site,TL.TP1_cm,TL.TP2_cm
S8_N_1,N,Native,AC8,SS,27.566,49.984
S8_N_2,N,Native,AC8,SS,17.878,38.128
S8_N_3,N,Native,AC8,SS,42.832,96.699
S8_N_4,N,Native,AC8,SS,23.992,55.285
S8_N_5,N,Native,AC8,SS,20.64,46.402
S8_N_6,N,Native,AC8,SS,27.182,51.919
S8_N_7,N,Native,AC8,SS,27.271,51.152
S8_N_8,N,Native,AC8,SS,20.15,45.441
S8_N_14,N,Native,AC8,SS,35.341,54.166
S8_N_15,N,Native,AC8,SS,45.858,85.294
S8_T_1,T,Transplant,AC8,SS,34.836,42.407
S8_T_2,T,Transplant,AC8,SS,35.776,68.099
S8_T_5,T,Transplant,AC8,SS,17.558,37.932
S8_T_6,T,Transplant,AC8,SS,11.843,22.304
S8_T_7,T,Transplant,AC8,SS,35.584,72.491
S8_T_8,T,Transplant,AC8,SS,16.905,33.768
S8_T_15,T,Transplant,AC8,SS,22.917,50.921
S8_T_17,T,Transplant,AC8,SS,20.356,22.136
S10_N_1,N,Native,AC10,SS,20.328,48.14
S10_N_3,N,Native,AC10,SS,24.451,45.627
S10_N_4,N,Native,AC10,SS,14.845,27.698
S10_N_5,N,Native,AC10,SS,5.457,12.837
S10_N_6,N,Native,AC10,SS,3.897,8
S10_N_7,N,Native,AC10,SS,2.998,9.309
S10_N_8,N,Native,AC10,SS,4.199,12.674
S10_N_13,N,Native,AC10,SS,16.093,28.85
S10_N_14,N,Native,AC10,SS,19.431,36.32
S10_N_18,N,Native,AC10,SS,29.738,40.533
S10_T_1,T,Transplant,AC10,SS,16.061,23.002
S10_T_2,T,Transplant,AC10,SS,9.548,18.501
S10_T_3,T,Transplant,AC10,SS,3.633,8.608
S10_T_4,T,Transplant,AC10,SS,10.757,19.611
S10_T_5,T,Transplant,AC10,SS,4.119,10.024
S10_T_6,T,Transplant,AC10,SS,2.93,6.715
S10_T_7,T,Transplant,AC10,SS,2.183,5.014
S10_T_8,T,Transplant,AC10,SS,4.552,8.62
S10_T_13,T,Transplant,AC10,SS,27.154,37.42
S10_T_14,T,Transplant,AC10,SS,24.641,34.056
S12_N_1,N,Native,AC12,SS,23.635,35.001
