ID,Orig,Origin,Genotype,Site,TL.TP1_cm,TL.TP2_cm,TL.TP3_cm,TL.TP4_cm
S8_N_1,N,Native,AC8,SS,27.566,49.984,16.445,30.895
S8_N_2,N,Native,AC8,SS,17.878,38.128,11.497,27.426
S8_N_3,N,Native,AC8,SS,42.832,96.699,14.188,30.679
S8_N_4,N,Native,AC8,SS,23.992,55.285,14.066,23.357
S8_N_5,N,Native,AC8,SS,20.64,46.402,16.814,36.145
S8_N_6,N,Native,AC8,SS,27.182,51.919,11.278,28.489
S8_N_7,N,Native,AC8,SS,27.271,51.152,10.832,23.991
S8_N_8,N,Native,AC8,SS,20.15,45.441,15.298,36.328
S8_N_14,N,Native,AC8,SS,35.341,54.166,16.856,43.337
S8_N_15,N,Native,AC8,SS,45.858,85.294,14.751,32.566
S8_T_1,T,Transplant,AC8,SS,34.836,42.407,14.264,33.008
S8_T_2,T,Transplant,AC8,SS,35.776,68.099,14.16,31.861
S8_T_3,T,Transplant,AC8,SS,23.345,42.362,12.803,25.693
S8_T_4,T,Transplant,AC8,SS,32.632,61.866,12.97,22.496
S8_T_5,T,Transplant,AC8,SS,17.558,37.932,14.9,34.713
S8_T_6,T,Transplant,AC8,SS,11.843,22.304,13.397,29.386
S8_T_7,T,Transplant,AC8,SS,35.584,72.491,16.117,20.505
S8_T_8,T,Transplant,AC8,SS,16.905,33.768,13.446,32.563
S8_T_15,T,Transplant,AC8,SS,22.917,50.921,15.953,42.244
S8_T_17,T,Transplant,AC8,SS,20.356,22.136,16.935,41.949
S10_N_1,N,Native,AC10,SS,20.328,48.14,10.19,27.548
S10_N_2,N,Native,AC10,SS,NA,NA,12.387,24.856
S10_N_3,N,Native,AC10,SS,24.451,45.627,13.979,21.12
S10_N_4,N,Native,AC10,SS,14.845,27.698,11.352,15.858
S10_N_5,N,Native,AC10,SS,5.457,12.837,NA,NA
S10_N_6,N,Native,AC10,SS,3.897,8,NA,NA
S10_N_7,N,Native,AC10,SS,2.998,9.309,9.901,23.661
S10_N_8,N,Native,AC10,SS,4.199,12.674,11.144,24.156
S10_N_13,N,Native,AC10,SS,16.093,28.85,8.533,14.423
S10_N_14,N,Native,AC10,SS,19.431,36.32,10.419,19.518
S10_N_17,N,Native,AC10,SS,NA,NA,11.644,19.624
S10_N_18,N,Native,AC10,SS,29.738,40.533,11.886,23.439
S10_T_1,T,Transplant,AC10,SS,16.061,23.002,11.46,24.036
S10_T_2,T,Transplant,AC10,SS,9.548,18.501,10.685,18.664
S10_T_3,T,Transplant,AC10,SS,3.633,8.608,10.985,27.621
S10_T_4,T,Transplant,AC10,SS,10.757,19.611,NA,NA
S10_T_5,T,Transplant,AC10,SS,4.119,10.024,NA,NA
S10_T_6,T,Transplant,AC10,SS,2.93,6.715,9.751,25.562
S10_T_7,T,Transplant,AC10,SS,2.183,5.014,7.246,14.703
S10_T_8,T,Transplant,AC10,SS,4.552,8.62,10.344,21.662
S10_T_13,T,Transplant,AC10,SS,27.154,37.42,9.135,25.945
S10_T_14,T,Transplant,AC10,SS,24.641,34.056,18.83,37.159
S10_T_17,T,Transplant,AC10,SS,NA,NA,15.704,34.776
S10_T_18,T,Transplant,AC10,SS,NA,NA,13.735,33.051
S12_N_1,N,Native,AC12,SS,23.635,35.001,10.904,51.38
S12_N_2,N,Native,AC12,SS,21.186,52.278,13.837,25.001
S12_N_5,N,Native,AC12,SS,31.92,73.533,13.103,26.245
S12_N_6,N,Native,AC12,SS,9.114,18.537,13.406,30.5
S12_N_7,N,Native,AC12,SS,34.61,69.691,11.961,28.294
S12_N_8,N,Native,AC12,SS,9.051,18.217,7.182,27.287
S12_N_13,N,Native,AC12,SS,83.617,131.594,12.979,31.084
S12_N_14,N,Native,AC12,SS,42.375,58.25,11.152,19.048
S12_N_15,N,Native,AC12,SS,NA,NA,7.555,31.042
S12_N_17,N,Native,AC12,SS,41.543,71.548,12.07,26.079
S12_N_18,N,Native,AC12,SS,17.472,26.441,NA,NA
S12_T_1,T,Transplant,AC12,SS,20.337,48.771,9.104,38.552
S12_T_2,T,Transplant,AC12,SS,47.068,62.27,12.245,51.467
S12_T_3,T,Transplant,AC12,SS,NA,NA,10.605,33.773
S12_T_4,T,Transplant,AC12,SS,NA,NA,10.027,47.143
S12_T_5,T,Transplant,AC12,SS,2.661,7.701,16.3,41.748
S12_T_6,T,Transplant,AC12,SS,27.956,59.447,9.735,25.554
S12_T_7,T,Transplant,AC12,SS,21.519,51.988,11.118,42.818
S12_T_8,T,Transplant,AC12,SS,41.542,71.513,14.121,42.9
