Site,Month,Month.n,Sample,ID,Date,Time,TN_uM,TP_uM,NO3.NO2_uM,NO2_uM,NH4_uM,SRP_uM
SS,Aug,M0,2,SS_Aug.2,8/20/2021,12:00,6.047,0.302,0.077,0.007,0.361,0.005
KL,Aug,M0,2,KL_Aug.2,8/20/2021,12:00,5.304,0.285,0.409,0.001,0.26,0.003
SS,Sep,M1,1,SS_Sep.1,9/5/2021,12:00,5.82,0.354,0.799,0.028,26.136,0.06
KL,Sep,M1,1,KL_Sep.1,9/5/2021,12:00,5.584,0.259,0.282,0.012,0.721,0.004
SS,Sep,M1,2,SS_Sep.2,9/20/2021,12:00,5.969,0.268,0.045,0.008,0,0
KL,Sep,M1,2,KL_Sep.2,9/20/2021,12:00,5.728,0.266,0.021,0.006,0.074,0
SS,Oct,M2,1,SS_Oct.1,10/4/2021,12:00,4.989,0.281,0.04,0.004,0.069,0
KL,Oct,M2,1,KL_Oct.1,10/4/2021,12:00,5.365,0.258,0.021,0,0.017,0
SS,Oct,M2,2,SS_Oct.2,10/19/2021,12:00,5.299,0.261,0.025,0.003,0.057,0
KL,Oct,M2,2,KL_Oct.2,10/19/2021,12:00,5.999,0.265,0.093,0.006,0.294,0
SS,Nov,M3,1,SS_Nov.1,11/2/2021,12:00,5.177,0.26,0.248,0.017,0.888,0
KL,Nov,M3,1,KL_Nov.1,11/2/2021,12:00,5.19,0.298,0.495,0.008,0.145,0
SS,Nov,M3,2,SS_Nov.2,11/17/2021,12:00,5.833,0.279,0.365,0.012,0.573,0
KL,Nov,M3,2,KL_Nov.2,11/17/2021,12:00,6.135,0.279,1.273,0.038,0.533,0.011
SS,Dec,M4,1,SS_Dec.1,12/2/2021,12:00,5.509,0.295,0.362,0.028,1.225,0.05
KL,Dec,M4,1,KL_Dec.1,12/2/2021,12:00,5.146,0.265,0.541,0.006,0.719,0
SS,Dec,M4,2,SS_Dec.2,12/20/2021,12:00,6.393,0.278,0.507,0.009,0.152,0.014
KL,Dec,M4,2,KL_Dec.2,12/20/2021,12:00,5.649,0.282,0.376,0.023,1.101,0
SS,Jan,M5,1,SS_Jan.1,1/4/2022,12:00,5.645,0.294,0.098,0,0.068,0
KL,Jan,M5,1,KL_Jan.1,1/4/2022,12:00,5.282,0.287,0.096,0,0.018,0
SS,Jan,M5,2,SS_Jan.2,1/18/2022,12:00,5.194,0.31,0,0,0.131,0
KL,Jan,M5,2,KL_Jan.2,1/18/2022,12:00,5.382,0.335,0.124,0.006,0.674,0
SS,Feb,M6,1,SS_Feb.1,2/3/2022,12:00,5.173,0.376,0.026,0,0.421,0
KL,Feb,M6,1,KL_Feb.1,2/3/2022,12:00,5.536,0.359,0.126,0,0.024,0
SS,Feb,M6,2,SS_Feb.2,2/18/2022,12:00,5.802,0.348,0.111,0,0.086,0
KL,Feb,M6,2,KL_Feb.2,2/18/2022,12:00,5.763,0.368,0.039,0,0.01,0
SS,Mar,M7,1,SS_Mar.1,3/5/2022,12:00,4.748,0.34,0.15,0,0.791,0
KL,Mar,M7,1,KL_Mar.1,3/5/2022,12:00,5.124,0.395,0.061,0,0.182,0
SS,Mar,M7,2,SS_Mar.2,3/21/2022,12:00,4.731,0.314,0.163,0,0,0
KL,Mar,M7,2,KL_Mar.2,3/21/2022,12:00,5.479,0.287,0.231,0,1.18,0
SS,Apr,M8,1,SS_Apr.1,4/4/2022,12:00,5.518,0.323,0.425,0,0.118,0
KL,Apr,M8,1,KL_Apr.1,4/4/2022,12:00,4.499,0.309,0.051,0,0,0.001
SS,Apr,M8,2,SS_Apr.2,4/19/2022,12:00,4.775,0.37,0.12,0,0.037,0
KL,Apr,M8,2,KL_Apr.2,4/19/2022,12:00,5.894,0.36,0.158,0.001,0.54,0.009
SS,May,M9,1,SS_May.1,5/4/2022,12:00,5.689,0.346,0.229,0,0.983,0
KL,May,M9,1,KL_May.1,5/4/2022,12:00,4.91,0.33,0.142,0,0.899,0.021
SS,May,M9,2,SS_May.2,5/18/2022,12:00,5.002,0.31,0.341,0,0.337,0
KL,May,M9,2,KL_May.2,5/18/2022,12:00,5.619,0.337,0.425,0.003,0.284,0
SS,Jun,M10,1,SS_Jun.1,6/3/2022,12:00,5.466,0.29,0.115,0.004,0.265,0.009
KL,Jun,M10,1,KL_Jun.1,6/3/2022,12:00,4.871,0.263,0.098,0.009,0.183,0
SS,Jun,M10,2,SS_Jun.2,6/17/2022,12:00,5.487,0.276,0.082,0.004,0.469,0
KL,Jun,M10,2,KL_Jun.2,6/17/2022,12:00,4.661,0.306,0.351,0.013,0.658,0
SS,Jul,M11,1,SS_Jul.1,7/4/2022,12:00,4.151,0.32,0.132,0.009,0.535,0
KL,Jul,M11,1,KL_Jul.1,7/4/2022,12:00,4.976,0.312,0.559,0.008,0.672,0.008
SS,Jul,M11,2,SS_Jul.2,7/20/2022,12:00,5.238,0.332,0.637,0,0.791,0.014
KL,Jul,M11,2,KL_Jul.2,7/20/2022,12:00,12.113,0.414,0.539,0,0.896,0.072
SS,Aug,M12,1,SS_Aug.1,8/3/2022,12:00,5.098,0.31,0.088,0,0.186,0.013
KL,Aug,M12,1,KL_Aug.1,8/3/2022,12:00,5.225,0.335,0.287,0,1.103,0.002
