Date,Time,Memory,Fo,Fm,Fv_Fm
8/10/2021,18:20:20,624,223,578,0.614
8/10/2021,18:20:29,625,220,557,0.605
8/10/2021,18:20:40,626,167,377,0.557
8/10/2021,18:20:41,627,153,15,NA
8/10/2021,18:20:43,628,0,0,NA
8/10/2021,18:21:27,629,157,401,0.608
8/10/2021,18:21:37,630,0,0,NA
8/10/2021,18:22:26,631,158,391,0.596
8/10/2021,18:22:35,632,311,654,0.524
8/10/2021,18:22:42,633,173,347,0.501
8/10/2021,18:22:49,634,164,400,0.59
8/10/2021,18:23:01,635,0,0,NA
8/10/2021,18:23:58,636,161,425,0.621
8/10/2021,18:24:14,637,86,181,0.525
8/10/2021,18:24:25,638,125,271,0.539
8/10/2021,18:24:44,639,149,358,0.584
8/10/2021,18:24:49,640,313,697,0.551
8/10/2021,18:25:06,641,0,0,NA
8/10/2021,18:25:33,642,209,471,0.556
8/10/2021,18:25:41,643,202,454,0.555
8/10/2021,18:25:50,644,189,387,0.512
8/10/2021,18:25:57,645,244,626,0.61
8/10/2021,18:26:18,646,11,11,NA
8/10/2021,18:26:54,647,173,410,0.578
8/10/2021,18:27:01,648,599,858,0.302
8/10/2021,18:27:10,649,211,272,0.224
8/10/2021,18:27:21,650,492,748,0.342
8/10/2021,18:27:27,651,221,301,0.266
8/10/2021,18:27:36,652,8,9,NA
8/10/2021,18:28:16,653,334,889,0.624
8/10/2021,18:28:28,654,265,649,0.592
8/10/2021,18:28:45,655,178,318,0.44
8/10/2021,18:28:51,656,335,583,0.425
8/10/2021,18:33:55,659,261,796,0.672
8/10/2021,18:34:19,660,236,608,0.612
8/10/2021,18:34:26,661,307,752,0.592
8/10/2021,18:34:33,662,269,647,0.584
8/10/2021,18:34:59,663,4,8,NA
8/10/2021,18:35:20,664,245,590,0.585
8/10/2021,18:35:28,665,274,716,0.617
8/10/2021,18:35:37,666,173,437,0.604
8/10/2021,18:35:46,667,280,757,0.63
8/10/2021,18:36:03,668,8,6,NA
8/10/2021,18:36:49,669,245,579,0.577
8/10/2021,18:36:56,670,227,450,0.496
8/10/2021,18:37:03,671,209,580,0.64
8/10/2021,18:37:10,672,197,533,0.63
8/10/2021,18:37:18,673,8,8,NA
8/10/2021,18:38:13,674,208,530,0.608
8/10/2021,18:38:35,675,142,336,0.577
8/10/2021,18:38:50,676,280,754,0.629
8/10/2021,18:39:00,677,247,659,0.625
8/10/2021,18:39:08,678,7,10,NA
8/10/2021,18:39:40,679,358,824,0.566
8/10/2021,18:39:49,680,128,283,0.548
8/10/2021,18:39:55,681,292,803,0.636
8/10/2021,18:40:01,682,226,584,0.613
8/10/2021,18:40:05,683,7,8,NA
8/10/2021,18:40:54,684,191,310,0.384
8/10/2021,18:41:01,685,341,848,0.598
8/10/2021,18:41:07,686,182,419,0.566
8/10/2021,18:41:13,687,218,490,0.555
8/10/2021,18:41:41,688,2,3,NA
8/10/2021,18:41:47,689,0,2,NA
8/10/2021,18:45:46,690,263,716,0.633
8/10/2021,18:45:55,691,276,734,0.624
8/10/2021,18:46:06,692,355,1075,0.67
8/10/2021,18:46:14,693,344,1078,0.681
8/10/2021,18:46:30,694,10,12,NA
8/10/2021,18:47:01,695,376,933,0.597
8/10/2021,18:47:13,696,371,1041,0.644
8/10/2021,18:47:32,697,353,1064,0.668
8/10/2021,18:47:40,698,285,981,0.709
8/10/2021,18:47:45,699,7,10,NA
8/10/2021,18:48:20,700,238,640,0.628
8/10/2021,18:48:32,701,317,910,0.652
8/10/2021,18:49:00,702,303,811,0.626
8/10/2021,18:49:07,703,175,459,0.619
8/10/2021,18:49:12,704,6,6,NA
8/10/2021,18:49:52,705,290,826,0.649
8/10/2021,18:50:00,706,287,781,0.633
8/10/2021,18:50:13,707,282,781,0.639
8/10/2021,18:50:24,708,244,642,0.62
8/10/2021,18:50:28,709,5,8,NA
8/10/2021,18:51:24,710,323,973,0.668
8/10/2021,18:51:37,711,329,975,0.663
8/10/2021,18:51:49,712,208,593,0.649
8/10/2021,18:52:05,713,206,545,0.622
8/10/2021,18:52:40,714,4,7,NA
8/10/2021,18:53:04,715,355,903,0.607
8/10/2021,18:53:11,716,370,1110,0.667
8/10/2021,18:53:23,717,231,611,0.622
8/10/2021,18:53:30,718,262,835,0.686
8/10/2021,18:57:11,719,0,0,NA
8/10/2021,18:57:15,720,0,0,NA
8/10/2021,19:01:03,721,207,251,0.175
8/10/2021,19:01:10,722,297,693,0.571
8/10/2021,19:01:19,723,140,386,0.637
8/10/2021,19:01:30,724,212,578,0.633
8/10/2021,19:01:51,725,12,13,NA
8/10/2021,19:02:22,726,243,737,0.67
8/10/2021,19:02:37,727,117,346,0.662
8/10/2021,19:03:08,728,311,930,0.666
8/10/2021,19:03:21,729,282,714,0.605
8/10/2021,19:03:28,730,154,479,0.678
8/10/2021,19:03:46,731,7,7,NA
8/10/2021,19:04:21,732,317,849,0.627
8/10/2021,19:04:31,733,173,442,0.609
8/10/2021,19:04:40,734,309,883,0.65
8/10/2021,19:04:45,735,271,741,0.634
8/10/2021,19:05:07,736,7,9,NA
8/10/2021,19:05:30,737,266,617,0.569
8/10/2021,19:05:36,738,276,702,0.607
8/10/2021,19:05:43,739,266,676,0.607
8/10/2021,19:05:49,740,75,166,0.548
8/10/2021,19:06:01,741,257,734,0.65
8/10/2021,19:06:11,742,18,21,NA
8/10/2021,19:06:44,743,288,738,0.61
8/10/2021,19:06:52,744,154,388,0.603
8/10/2021,19:07:01,745,245,781,0.686
8/10/2021,19:07:06,746,216,632,0.658
8/10/2021,19:07:21,747,16,16,NA
8/10/2021,19:08:03,748,384,1160,0.669
8/10/2021,19:08:10,749,388,1289,0.699
8/10/2021,19:08:18,750,318,795,0.6
8/10/2021,19:08:26,751,271,773,0.649
8/10/2021,19:13:29,752,0,0,NA
8/10/2021,19:13:36,753,0,0,NA
8/10/2021,20:37:55,754,31,31,NA
8/10/2021,20:38:25,755,355,746,0.524
8/10/2021,20:38:42,756,275,477,0.423
8/10/2021,20:38:50,757,319,635,0.498
8/10/2021,20:38:59,758,303,630,0.519
8/10/2021,20:39:10,759,14,14,NA
8/10/2021,20:40:24,760,185,394,0.53
8/10/2021,20:40:32,761,302,632,0.522
8/10/2021,20:40:42,762,282,589,0.521
8/10/2021,20:40:52,763,152,275,0.447
8/10/2021,20:40:59,764,10,11,NA
8/10/2021,20:41:17,765,213,442,0.518
8/10/2021,20:41:24,766,266,599,0.556
8/10/2021,20:41:34,767,335,761,0.56
8/10/2021,20:41:40,768,230,446,0.484
8/10/2021,20:41:50,769,14,13,NA
8/10/2021,20:42:27,770,210,426,0.507
8/10/2021,20:42:37,771,265,565,0.531
8/10/2021,20:42:46,772,188,374,0.497
8/10/2021,20:42:53,773,268,595,0.55
8/10/2021,20:43:05,774,12,12,NA
8/10/2021,20:43:25,775,309,701,0.559
8/10/2021,20:43:33,776,405,715,0.434
8/10/2021,20:43:42,777,549,807,0.32
8/10/2021,20:43:50,778,321,533,0.398
8/10/2021,20:43:56,779,12,15,NA
8/10/2021,20:44:30,780,360,749,0.519
8/10/2021,20:44:39,781,342,758,0.549
8/10/2021,20:44:49,782,348,762,0.543
