Row,Column,Well,Plate,A562,Input,RandN,Rep,Fraction
A,1,A1,1A,2.531,Standard,St_A,A,NA
B,1,B1,A1,2.012,Standard,St_B,A,NA
C,1,C1,A1,1.403,Standard,St_C,A,NA
D,1,D1,A1,1.172,Standard,St_D,A,NA
E,1,E1,A1,0.813,Standard,St_E,A,NA
F,1,F1,A1,0.475,Standard,St_F,A,NA
G,1,G1,A1,0.299,Standard,St_G,A,NA
H,1,H1,A1,0.126,Standard,St_H,A,NA
A,2,A2,A1,0.091,Standard,St_I,A,NA
B,2,B2,A1,0.584,Un,1,A,C
C,2,C2,A1,0.485,Un,2,A,C
D,2,D2,A1,0.804,Un,3,A,C
E,2,E2,A1,0.911,Un,4,A,C
F,2,F2,A1,1.545,Un,5,A,C
G,2,G2,A1,0.878,Un,6,A,C
H,2,H2,A1,0.763,Un,7,A,C
A,3,A3,A1,1.002,Un,8,A,C
B,3,B3,A1,0.779,Un,9,A,C
C,3,C3,A1,0.899,Un,10,A,C
D,3,D3,A1,1.031,Un,11,A,C
E,3,E3,A1,1.047,Un,12,A,C
F,3,F3,A1,1.011,Un,13,A,C
G,3,G3,A1,0.827,Un,14,A,C
H,3,H3,A1,1.254,Un,15,A,C
A,4,A4,A1,1.237,Un,16,A,C
B,4,B4,A1,1.262,Un,17,A,C
C,4,C4,A1,1.103,Un,18,A,C
D,4,D4,A1,1.062,Un,19,A,C
E,4,E4,A1,0.453,Un,20,A,C
F,4,F4,A1,1.259,Un,21,A,C
G,4,G4,A1,1.021,Un,22,A,C
H,4,H4,A1,1.103,Un,23,A,C
A,5,A5,A1,1.054,Un,24,A,C
B,5,B5,A1,0.691,Un,25,A,C
C,5,C5,A1,1.477,Un,26,A,C
D,5,D5,A1,1.634,Un,27,A,C
E,5,E5,A1,1.522,Un,28,A,C
F,5,F5,A1,1.323,Un,29,A,C
G,5,G5,A1,1.299,Un,30,A,C
H,5,H5,A1,1.117,Un,31,A,C
A,6,A6,A1,1.116,Un,32,A,C
B,6,B6,A1,0.969,Un,33,A,C
C,6,C6,A1,0.728,Un,34,A,C
D,6,D6,A1,1.239,Un,35,A,C
E,6,E6,A1,0.98,Un,36,A,C
F,6,F6,A1,0.996,Un,37,A,C
G,6,G6,A1,0.978,Un,38,A,C
H,6,H6,A1,0.561,Un,39,A,C
A,7,A7,A1,1.148,Un,40,A,C
B,7,B7,A1,0.996,Un,41,A,C
C,7,C7,A1,0.874,Un,42,A,C
D,7,D7,A1,0.945,Un,43,A,C
E,7,E7,A1,1.269,Un,44,A,C
F,7,F7,A1,1.361,Un,45,A,C
G,7,G7,A1,0.813,Un,46,A,C
H,7,H7,A1,1.271,Un,47,A,C
A,8,A8,A1,1.485,Un,48,A,C
B,8,B8,A1,1.47,Un,49,A,C
C,8,C8,A1,1.544,Un,50,A,C
D,8,D8,A1,1.236,Un,51,A,C
E,8,E8,A1,1.291,Un,52,A,C
F,8,F8,A1,0.566,Un,53,A,C
G,8,G8,A1,0.768,Un,54,A,C
H,8,H8,A1,1.234,Un,55,A,C
A,9,A9,A1,1.619,Un,56,A,C
B,9,B9,A1,0.743,Un,57,A,C
C,9,C9,A1,0.779,Un,58,A,C
D,9,D9,A1,0.777,Un,59,A,C
E,9,E9,A1,0.784,Un,60,A,C
F,9,F9,A1,0.691,Un,61,A,C
G,9,G9,A1,1.443,Un,62,A,C
H,9,H9,A1,0.882,Un,63,A,C
A,10,A10,A1,0.746,Un,64,A,C
B,10,B10,A1,0.744,Un,65,A,C
C,10,C10,A1,1.08,Un,66,A,C
D,10,D10,A1,0.781,Un,67,A,C
E,10,E10,A1,1.015,Un,68,A,C
F,10,F10,A1,0.814,Un,69,A,C
G,10,G10,A1,0.705,Un,70,A,C
H,10,H10,A1,1.02,Un,71,A,C
A,11,A11,A1,0.85,Un,72,A,C
B,11,B11,A1,0.879,Un,73,A,C
C,11,C11,A1,1.17,Un,74,A,C
D,11,D11,A1,0.802,Un,75,A,C
E,11,E11,A1,1.277,Un,76,A,C
F,11,F11,A1,1.088,Un,77,A,C
G,11,G11,A1,0.797,Un,78,A,C
H,11,H11,A1,1.658,Un,79,A,C
A,12,A12,A1,0.678,Un,80,A,C
B,12,B12,A1,0.804,Un,81,A,C
C,12,C12,A1,0.759,Un,82,A,C
D,12,D12,A1,1.032,Un,83,A,C
E,12,E12,A1,0.928,Un,84,A,C
F,12,F12,A1,0.813,Un,85,A,C
G,12,G12,A1,0.936,Un,86,A,C
H,12,H12,A1,1.056,Un,87,A,C
A,1,A1,A2,2.518,Standard,St_A,B,NA
B,1,B1,A2,2.065,Standard,St_B,B,NA
C,1,C1,A2,1.546,Standard,St_C,B,NA
D,1,D1,A2,1.163,Standard,St_D,B,NA
E,1,E1,A2,0.83,Standard,St_E,B,NA
F,1,F1,A2,0.502,Standard,St_F,B,NA
G,1,G1,A2,0.308,Standard,St_G,B,NA
H,1,H1,A2,0.132,Standard,St_H,B,NA
A,2,A2,A2,0.091,Standard,St_I,B,NA
B,2,B2,A2,0.6,Un,1,B,C
C,2,C2,A2,0.525,Un,2,B,C
D,2,D2,A2,0.803,Un,3,B,C
E,2,E2,A2,1.196,Un,4,B,C
F,2,F2,A2,1.687,Un,5,B,C
G,2,G2,A2,0.963,Un,6,B,C
H,2,H2,A2,0.824,Un,7,B,C
A,3,A3,A2,1.002,Un,8,B,C
B,3,B3,A2,0.792,Un,9,B,C
C,3,C3,A2,0.939,Un,10,B,C
