TimeP,RandN,Rep,Count_ul,FC_df,InputVol_ul,RespVol_ul,SendInputVol_ul,SendTotalVol_ul
M1,M1_1,A,668.6,1,1000,300,20,200
M1,M1_1,B,697.34,1,1000,300,20,200
M1,M1_1,C,732.72,1,1000,300,20,200
M1,M1_2,A,174.33,1,1000,300,20,200
M1,M1_2,B,144.12,1,1000,300,20,200
M1,M1_2,C,104.64,1,1000,300,20,200
M1,M1_3,A,215.7,1,1000,300,20,200
M1,M1_3,B,173.12,1,1000,300,20,200
M1,M1_3,C,226.73,1,1000,300,20,200
M1,M1_4,A,117.29,1,1000,300,20,200
M1,M1_4,B,190.99,1,1000,300,20,200
M1,M1_4,C,111.26,1,1000,300,20,200
M1,M1_5,A,183.4,1,1000,300,20,200
M1,M1_5,B,158.66,1,1000,300,20,200
M1,M1_5,C,143.96,1,1000,300,20,200
M1,M1_6,A,106.84,1,1000,300,20,200
M1,M1_6,B,82.48,1,1000,300,20,200
M1,M1_6,C,86.88,1,1000,300,20,200
M1,M1_7,A,95.39,1,1000,300,20,200
M1,M1_7,B,74.47,1,1000,300,20,200
M1,M1_7,C,109,1,1000,300,20,200
M1,M1_8,A,215.6,1,1000,300,20,200
M1,M1_8,B,242.53,1,1000,300,20,200
M1,M1_8,C,229.48,1,1000,300,20,200
M1,M1_9,A,NA,1,1000,300,20,200
M1,M1_9,B,115.8,1,1000,300,20,200
M1,M1_9,C,77.44,1,1000,300,20,200
M1,M1_10,A,171.35,1,1000,300,20,200
M1,M1_10,B,144.56,1,1000,300,20,200
M1,M1_10,C,156.61,1,1000,300,20,200
M1,M1_11,A,248.71,1,1000,300,20,200
M1,M1_11,B,231.28,1,1000,300,20,200
M1,M1_11,C,337.08,1,1000,300,20,200
M1,M1_12,A,243.09,1,1000,300,20,200
M1,M1_12,B,266.68,1,1000,300,20,200
M1,M1_12,C,329.6,1,1000,300,20,200
M1,M1_13,A,801.84,1,1000,300,20,200
M1,M1_13,B,863.99,1,1000,300,20,200
M1,M1_13,C,794.83,1,1000,300,20,200
M1,M1_14,A,805.41,1,1000,300,20,200
M1,M1_14,B,818.32,1,1000,300,20,200
M1,M1_14,C,1241.24,1,1000,300,20,200
M1,M1_15,A,985.2,1,1000,300,20,200
M1,M1_15,B,761.77,1,1000,300,20,200
M1,M1_15,C,742.16,1,1000,300,20,200
M1,M1_16,A,561,1,1000,300,20,200
M1,M1_16,B,575.11,1,1000,300,20,200
M1,M1_16,C,542.08,1,1000,300,20,200
M1,M1_17,A,120,1,1000,300,20,200
M1,M1_17,B,127.98,1,1000,300,20,200
M1,M1_17,C,111.54,1,1000,300,20,200
M1,M1_18,A,667.82,1,1000,300,20,200
M1,M1_18,B,616.72,1,1000,300,20,200
M1,M1_18,C,680.8,1,1000,300,20,200
M1,M1_19,A,1064.15,1,1000,300,20,200
M1,M1_19,B,1373.4,1,1000,300,20,200
M1,M1_19,C,1156.6,1,1000,300,20,200
M1,M1_20,A,416.6,1,1000,300,20,200
