Site,Date,Time,Temp_C,Cond_uS.cm
SS,       06/08/2021 ,0:09,27.38,52.969
SS,       06/08/2021 ,0:24,27.37,52.97
SS,       06/08/2021 ,0:39,27.37,52.955
SS,       06/08/2021 ,0:54,27.37,52.963
SS,       06/08/2021 ,1:09,27.36,52.965
SS,       06/08/2021 ,1:24,27.36,52.965
SS,       06/08/2021 ,1:39,27.36,52.972
SS,       06/08/2021 ,1:54,27.36,52.965
SS,       06/08/2021 ,2:09,27.35,52.967
SS,       06/08/2021 ,2:24,27.34,52.976
SS,       06/08/2021 ,2:39,27.35,52.967
SS,       06/08/2021 ,2:54,27.35,52.967
SS,       06/08/2021 ,3:09,27.36,52.965
SS,       06/08/2021 ,3:24,27.36,52.965
SS,       06/08/2021 ,3:39,27.36,52.942
SS,       06/08/2021 ,3:54,27.36,52.942
SS,       06/08/2021 ,4:09,27.36,52.942
SS,       06/08/2021 ,4:24,27.36,52.942
SS,       06/08/2021 ,4:39,27.36,52.942
SS,       06/08/2021 ,4:54,27.36,52.935
SS,       06/08/2021 ,5:09,27.35,52.929
SS,       06/08/2021 ,5:24,27.35,52.951
SS,       06/08/2021 ,5:39,27.35,52.944
SS,       06/08/2021 ,5:54,27.35,52.944
SS,       06/08/2021 ,6:09,27.34,52.916
SS,       06/08/2021 ,6:24,27.34,52.938
SS,       06/08/2021 ,6:39,27.33,52.91
SS,       06/08/2021 ,6:54,27.32,52.942
SS,       06/08/2021 ,7:09,27.36,52.897
SS,       06/08/2021 ,7:24,27.36,52.912
SS,       06/08/2021 ,7:39,27.36,52.919
SS,       06/08/2021 ,7:54,27.35,52.914
SS,       06/08/2021 ,8:09,27.32,52.934
SS,       06/08/2021 ,8:24,27.36,52.919
SS,       06/08/2021 ,8:39,27.38,52.893
SS,       06/08/2021 ,8:54,27.41,52.88
SS,       06/08/2021 ,9:09,27.44,52.852
SS,       06/08/2021 ,9:24,27.44,52.852
SS,       06/08/2021 ,9:39,27.44,52.882
SS,       06/08/2021 ,9:54,27.44,52.897
SS,       06/08/2021 ,10:09,27.45,52.873
SS,       06/08/2021 ,10:24,27.44,52.89
SS,       06/08/2021 ,10:39,27.49,52.865
SS,       06/08/2021 ,10:54,27.51,52.847
SS,       06/08/2021 ,11:09,27.5,52.849
SS,       06/08/2021 ,11:24,27.49,52.903
SS,       06/08/2021 ,11:39,27.5,52.879
SS,       06/08/2021 ,11:54,27.51,52.877
SS,       06/08/2021 ,12:09,27.56,52.815
SS,       06/08/2021 ,12:24,27.56,52.868
SS,       06/08/2021 ,12:39,27.6,52.823
SS,       06/08/2021 ,12:54,27.55,52.892
SS,       06/08/2021 ,13:09,27.55,52.877
SS,       06/08/2021 ,13:24,27.55,52.9
SS,       06/08/2021 ,13:39,27.56,52.883
SS,       06/08/2021 ,13:54,27.59,52.832
SS,       06/08/2021 ,14:09,27.58,52.849
SS,       06/08/2021 ,14:24,27.59,52.877
SS,       06/08/2021 ,14:39,27.62,52.849
SS,       06/08/2021 ,14:54,27.66,52.894
SS,       06/08/2021 ,15:09,27.61,52.866
SS,       06/08/2021 ,15:24,27.62,52.864
SS,       06/08/2021 ,15:39,27.64,52.891
SS,       06/08/2021 ,15:54,27.62,52.849
SS,       06/08/2021 ,16:09,27.6,52.86
SS,       06/08/2021 ,16:24,27.61,52.851
SS,       06/08/2021 ,16:39,27.59,52.87
SS,       06/08/2021 ,16:54,27.58,52.872
SS,       06/08/2021 ,17:09,27.55,52.885
SS,       06/08/2021 ,17:24,27.54,52.871
SS,       06/08/2021 ,17:39,27.52,52.898
SS,       06/08/2021 ,17:54,27.52,52.898
SS,       06/08/2021 ,18:09,27.55,52.9
SS,       06/08/2021 ,18:24,27.57,52.873
SS,       06/08/2021 ,18:39,27.58,52.909
SS,       06/08/2021 ,18:54,27.57,52.918
SS,       06/08/2021 ,19:09,27.56,52.92
SS,       06/08/2021 ,19:24,27.57,52.941
SS,       06/08/2021 ,19:39,27.55,52.9
SS,       06/08/2021 ,19:54,27.52,52.935
SS,       06/08/2021 ,20:09,27.51,52.922
SS,       06/08/2021 ,20:24,27.5,52.924
SS,       06/08/2021 ,20:39,27.5,52.924
SS,       06/08/2021 ,20:54,27.49,52.933
SS,       06/08/2021 ,21:09,27.5,52.924
SS,       06/08/2021 ,21:24,27.5,52.924
SS,       06/08/2021 ,21:39,27.48,52.928
SS,       06/08/2021 ,21:54,27.46,52.939
SS,       06/08/2021 ,22:09,27.45,52.948
SS,       06/08/2021 ,22:24,27.45,52.948
SS,       06/08/2021 ,22:39,27.45,52.903
SS,       06/08/2021 ,22:54,27.45,52.918
SS,       06/08/2021 ,23:09,27.45,52.895
SS,       06/08/2021 ,23:24,27.46,52.886
SS,       06/08/2021 ,23:39,27.42,52.916
SS,       06/08/2021 ,23:54,27.41,52.918
SS,       07/08/2021 ,0:09,27.4,52.95
SS,       07/08/2021 ,0:24,27.4,52.942
SS,       07/08/2021 ,0:39,27.38,52.916
SS,       07/08/2021 ,0:54,27.39,52.937
SS,       07/08/2021 ,1:09,27.39,52.944
SS,       07/08/2021 ,1:24,27.4,52.92
SS,       07/08/2021 ,1:39,27.41,52.918
SS,       07/08/2021 ,1:54,27.39,52.921
SS,       07/08/2021 ,2:09,27.41,52.903
SS,       07/08/2021 ,2:24,27.41,52.903
SS,       07/08/2021 ,2:39,27.4,52.912
SS,       07/08/2021 ,2:54,27.4,52.912
SS,       07/08/2021 ,3:09,27.41,52.903
SS,       07/08/2021 ,3:24,27.41,52.888
SS,       07/08/2021 ,3:39,27.4,52.912
SS,       07/08/2021 ,3:54,27.4,52.92
SS,       07/08/2021 ,4:09,27.39,52.884
SS,       07/08/2021 ,4:24,27.4,52.905
SS,       07/08/2021 ,4:39,27.4,52.905
SS,       07/08/2021 ,4:54,27.41,52.888
SS,       07/08/2021 ,5:09,27.39,52.899
SS,       07/08/2021 ,5:24,27.37,52.903
SS,       07/08/2021 ,5:39,27.35,52.869
SS,       07/08/2021 ,5:54,27.38,52.901
SS,       07/08/2021 ,6:09,27.39,52.891
SS,       07/08/2021 ,6:24,27.4,52.882
SS,       07/08/2021 ,6:39,27.38,52.893
SS,       07/08/2021 ,6:54,27.37,52.872
SS,       07/08/2021 ,7:09,27.34,52.893
SS,       07/08/2021 ,7:24,27.37,52.872
SS,       07/08/2021 ,7:39,27.38,52.878
SS,       07/08/2021 ,7:54,27.4,52.874
SS,       07/08/2021 ,8:09,27.44,52.837
SS,       07/08/2021 ,8:24,27.45,52.835
SS,       07/08/2021 ,8:39,27.48,52.822
SS,       07/08/2021 ,8:54,27.48,52.822
SS,       07/08/2021 ,9:09,27.49,52.813
SS,       07/08/2021 ,9:24,27.49,52.835
SS,       07/08/2021 ,9:39,27.49,52.813
SS,       07/08/2021 ,9:54,27.47,52.839
SS,       07/08/2021 ,10:09,27.48,52.837
SS,       07/08/2021 ,10:24,27.48,52.845
SS,       07/08/2021 ,10:39,27.48,52.837
SS,       07/08/2021 ,10:54,27.49,52.843
SS,       07/08/2021 ,11:09,27.49,52.828
SS,       07/08/2021 ,11:24,27.49,52.843
SS,       07/08/2021 ,11:39,27.5,52.841
SS,       07/08/2021 ,11:54,27.5,52.841
SS,       07/08/2021 ,12:09,27.5,52.849
SS,       07/08/2021 ,12:24,27.52,52.845
SS,       07/08/2021 ,12:39,27.53,52.828
SS,       07/08/2021 ,12:54,27.53,52.843
SS,       07/08/2021 ,13:09,27.53,52.851
SS,       07/08/2021 ,13:24,27.54,52.826
SS,       07/08/2021 ,13:39,27.58,52.834
SS,       07/08/2021 ,13:54,27.54,52.856
SS,       07/08/2021 ,14:09,27.55,52.87
SS,       07/08/2021 ,14:24,27.56,52.83
SS,       07/08/2021 ,14:39,27.56,52.838
SS,       07/08/2021 ,14:54,27.55,52.832
SS,       07/08/2021 ,15:09,27.57,52.866
SS,       07/08/2021 ,15:24,27.57,52.821
SS,       07/08/2021 ,15:39,27.7,52.865
SS,       07/08/2021 ,15:54,27.68,52.838
SS,       07/08/2021 ,16:09,27.7,52.82
SS,       07/08/2021 ,16:24,27.67,52.84
SS,       07/08/2021 ,16:39,27.67,52.863
SS,       07/08/2021 ,16:54,27.66,52.849
SS,       07/08/2021 ,17:09,27.65,52.896
SS,       07/08/2021 ,17:24,27.69,52.837
SS,       07/08/2021 ,17:39,27.67,52.87
