"Site","ID","Orig","Origin","Genotype","TL.TP1_cm","TL.TP2_cm","TL.TP3_cm","TL.TP4_cm","Set","Site.Orig","TP1","TP2","TP1.2_days","T1.2_Ext_cm","T1.2_TLE_cm.day","TP3","TP4","TP3.4_days","T3.4_Ext_cm","T3.4_TLE_cm.day"
"KL","K10_N_1","N","Native","AC10",19.908,24.57,13.525,27.976,"KL.AC10.N","KL.N",2021-08-26,2021-12-09,105,4.662,0.0444,2022-03-28,2022-08-04,129,14.451,0.112023255813953
"KL","K10_N_13","N","Native","AC10",21.691,29.104,17.588,32.754,"KL.AC10.N","KL.N",2021-08-26,2021-12-09,105,7.413,0.0706,2022-03-28,2022-08-04,129,15.166,0.117565891472868
"KL","K10_N_14","N","Native","AC10",25.937,41.93,19.166,30.79,"KL.AC10.N","KL.N",2021-08-26,2021-12-09,105,15.993,0.152314285714286,2022-03-28,2022-08-04,129,11.624,0.0901085271317829
"KL","K10_N_17","N","Native","AC10",16.19,20.818,5.947,12.404,"KL.AC10.N","KL.N",2021-08-26,2021-12-09,105,4.628,0.0440761904761905,2022-03-28,2022-08-04,129,6.457,0.0500542635658915
"KL","K10_N_18","N","Native","AC10",26.61,36.947,19.961,44.464,"KL.AC10.N","KL.N",2021-08-26,2021-12-09,105,10.337,0.0984476190476191,2022-03-28,2022-08-04,129,24.503,0.189945736434109
"KL","K10_N_2","N","Native","AC10",7.634,10.42,NA,NA,"KL.AC10.N","KL.N",2021-08-26,2021-12-09,105,2.786,0.0265333333333333,NA,NA,NA,NA,NA
"KL","K10_N_3","N","Native","AC10",NA,NA,14.166,37.585,"KL.AC10.N","KL.N",NA,NA,NA,NA,NA,2022-03-28,2022-08-04,129,23.419,0.181542635658915
"KL","K10_N_5","N","Native","AC10",4.299,10.076,19.058,30.195,"KL.AC10.N","KL.N",2021-08-26,2021-12-09,105,5.777,0.0550190476190476,2022-03-28,2022-08-04,129,11.137,0.0863333333333333
"KL","K10_N_6","N","Native","AC10",5.582,9.931,20.079,28.264,"KL.AC10.N","KL.N",2021-08-26,2021-12-09,105,4.349,0.0414190476190476,2022-03-28,2022-08-04,129,8.185,0.0634496124031008
"KL","K10_N_7","N","Native","AC10",14.488,26.897,18.893,37.245,"KL.AC10.N","KL.N",2021-08-26,2021-12-09,105,12.409,0.118180952380952,2022-03-28,2022-08-04,129,18.352,0.142263565891473
"KL","K10_N_8","N","Native","AC10",5.84,11.761,14.273,38.768,"KL.AC10.N","KL.N",2021-08-26,2021-12-09,105,5.921,0.0563904761904762,2022-03-28,2022-08-04,129,24.495,0.189883720930233
"KL","K10_T_1","T","Transplant","AC10",22.985,40.727,14.977,36.357,"KL.AC10.T","KL.T",2021-08-26,2021-12-09,105,17.742,0.168971428571429,2022-03-28,2022-08-04,129,21.38,0.165736434108527
"KL","K10_T_13","T","Transplant","AC10",12.975,26.64,11.298,21.491,"KL.AC10.T","KL.T",2021-08-26,2021-12-09,105,13.665,0.130142857142857,2022-03-28,2022-08-04,129,10.193,0.079015503875969
