"ID","RandN","TimeP","Site","Genotype","Treat","Treatment","Orig","Origin","Set","SA_cm2","Chl_ug.cm2","Sym10.6_cm2","Fv_Fm"
"K10_C_N_10","M1_7","M1","KL","AC10","C","Control","N","Native","M1.KL.AC10.C.N",27.1154758643357,0.750787979351293,0.131637298856877,0.605666666666667
"K10_C_N_11","M1_79","M1","KL","AC10","C","Control","N","Native","M1.KL.AC10.C.N",25.9503181763177,0.61526541697297,0.423508102109887,0.597666666666667
"K10_C_N_12","M1_47","M1","KL","AC10","C","Control","N","Native","M1.KL.AC10.C.N",26.5113200261041,0.493259734098134,0.306792720694083,0.620666666666667
"K10_C_N_13","M4_36","M4","KL","AC10","C","Control","N","Native","M4.KL.AC10.C.N",22.1096132047028,0.910158391903468,0.225227820762635,0.629
"K10_C_N_14","M4_45","M4","KL","AC10","C","Control","N","Native","M4.KL.AC10.C.N",18.3120622215331,0.633343923421989,0.178920318223214,0.609
"K10_C_N_15","M4_2","M4","KL","AC10","C","Control","N","Native","M4.KL.AC10.C.N",17.9668303139722,0.401439200680324,0.125000178704503,0.622333333333333
"K10_C_N_16","M4_77","M4","KL","AC10","C","Control","N","Native","M4.KL.AC10.C.N",15.7659769032715,0.70821808686546,0.356096170535111,0.600666666666667
"K10_C_N_17","M8_54","M8","KL","AC10","C","Control","N","Native","M8.KL.AC10.C.N",26.7702439567748,1.02696237575287,0.591854150660077,0.582
"K10_C_N_18","M8_75","M8","KL","AC10","C","Control","N","Native","M8.KL.AC10.C.N",30.1362550554934,1.15233296028498,0.619351009793025,0.595333333333333
"K10_C_N_19","M8_17","M8","KL","AC10","C","Control","N","Native","M8.KL.AC10.C.N",18.9593720482097,0.644571629390399,0.511273262392428,0.58
"K10_C_N_20","M8_48","M8","KL","AC10","C","Control","N","Native","M8.KL.AC10.C.N",28.9710973674754,1.27237960184128,0.982006985760207,0.585
"K10_C_N_21","M12_2","M12","KL","AC10","C","Control","N","Native","M12.KL.AC10.C.N",57.8842696256996,1.46021363915548,0.562093988753629,0.636333333333333
"K10_C_N_22","M12_55","M12","KL","AC10","C","Control","N","Native","M12.KL.AC10.C.N",74.5417091655124,1.40521060185809,0.722847391121121,0.642
"K10_C_N_23","M12_92","M12","KL","AC10","C","Control","N","Native","M12.KL.AC10.C.N",45.6716908957332,1.1080708641932,0.489483607056215,0.643
"K10_C_N_24","M12_58","M12","KL","AC10","C","Control","N","Native","M12.KL.AC10.C.N",32.3802624546392,1.09515583399024,0.499368095692607,0.629
"K10_C_N_5","W2_27","W2","KL","AC10","C","Control","N","Native","W2.KL.AC10.C.N",26.5544740145492,0.504369997788764,0.717935967760257,0.611666666666667
"K10_C_N_6","W2_93","W2","KL","AC10","C","Control","N","Native","W2.KL.AC10.C.N",37.6882030333878,0.565060105973583,0.335438757554995,0.564333333333333
"K10_C_N_7","W2_73","W2","KL","AC10","C","Control","N","Native","W2.KL.AC10.C.N",35.7894275418029,0.404193388762744,0.449082343695692,0.598666666666667
"K10_C_N_8","W2_10","W2","KL","AC10","C","Control","N","Native","W2.KL.AC10.C.N",28.0648636101281,0.331809914680626,0.388038229983413,0.595666666666667
"K10_C_N_9","M1_20","M1","KL","AC10","C","Control","N","Native","M1.KL.AC10.C.N",22.8432310082697,0.768627987008946,0.537728222227108,0.609333333333333
"K10_C_T_10","M1_27","M1","KL","AC10","C","Control","T","Transplant","M1.KL.AC10.C.T",69.6221544827697,0.943081750645664,0.706792936322852,0.627
"K10_C_T_11","M1_4","M1","KL","AC10","C","Control","T","Transplant","M1.KL.AC10.C.T",28.798481413695,0.803625707465059,0.116545034156,0.609
"K10_C_T_12","M1_39","M1","KL","AC10","C","Control","T","Transplant","M1.KL.AC10.C.T",45.6285369072882,0.63267424196959,0.508760560242554,0.626333333333333
"K10_C_T_13","M4_73","M4","KL","AC10","C","Control","T","Transplant","M4.KL.AC10.C.T",24.5693905460741,0.643503141453637,0.315811496644545,0.602333333333333
"K10_C_T_14","M4_68","M4","KL","AC10","C","Control","T","Transplant","M4.KL.AC10.C.T",21.6780733202517,0.884104399725199,0.350333716830136,0.605333333333333
"K10_C_T_15","M4_9","M4","KL","AC10","C","Control","T","Transplant","M4.KL.AC10.C.T",14.7302811805889,0.413732767574798,0.136274112855716,0.574
"K10_C_T_16","M4_66","M4","KL","AC10","C","Control","T","Transplant","M4.KL.AC10.C.T",21.9369972509224,0.540939424431378,0.239423834535019,0.601
"K10_C_T_17","M8_23","M8","KL","AC10","C","Control","T","Transplant","M8.KL.AC10.C.T",23.1453089273855,0.812419198738145,0.680531854183346,0.583
"K10_C_T_18","M8_1","M8","KL","AC10","C","Control","T","Transplant","M8.KL.AC10.C.T",25.8640101994274,0.616257876373435,0.407720996036162,0.592
"K10_C_T_19","M8_73","M8","KL","AC10","C","Control","T","Transplant","M8.KL.AC10.C.T",13.6514314694611,0.771508835799456,0.36674307827717,0.558333333333333
"K10_C_T_20","M8_31","M8","KL","AC10","C","Control","T","Transplant","M8.KL.AC10.C.T",19.9087597940022,0.818929297222143,0.477180904199871,0.575666666666667
"K10_C_T_21","M12_15","M12","KL","AC10","C","Control","T","Transplant","M12.KL.AC10.C.T",48.3472381793302,1.15236572135405,0.690798301158776,0.62
"K10_C_T_22","M12_74","M12","KL","AC10","C","Control","T","Transplant","M12.KL.AC10.C.T",45.7148448841784,1.40677133426282,0.603331370146367,0.65
"K10_C_T_23","M12_72","M12","KL","AC10","C","Control","T","Transplant","M12.KL.AC10.C.T",50.7207075438112,1.40153171046751,0.513879700465265,0.619666666666667
"K10_C_T_24","M12_81","M12","KL","AC10","C","Control","T","Transplant","M12.KL.AC10.C.T",45.0243810690566,1.35876441194905,0.5945852305874,0.614666666666667
"K10_C_T_5","W2_2","W2","KL","AC10","C","Control","T","Transplant","W2.KL.AC10.C.T",39.4143625711922,0.527868488610462,0.773626617579412,0.611
"K10_C_T_6","W2_71","W2","KL","AC10","C","Control","T","Transplant","W2.KL.AC10.C.T",40.1479803747591,0,0.278981903832995,0.586
"K10_C_T_7","W2_81","W2","KL","AC10","C","Control","T","Transplant","W2.KL.AC10.C.T",22.972692973605,0.622838022651783,0.638927269731262,0.598333333333333
"K10_C_T_8","W2_65","W2","KL","AC10","C","Control","T","Transplant","W2.KL.AC10.C.T",43.600299450368,0,0.462585813727244,0.585333333333333
"K10_C_T_9","M1_34","M1","KL","AC10","C","Control","T","Transplant","M1.KL.AC10.C.T",37.386125114272,0.889581359350447,0.529418867012889,0.613666666666667
"K10_H_N_10","M1_89","M1","KL","AC10","H","Heat","N","Native","M1.KL.AC10.H.N",25.691394245647,0.172994893056575,0.301722044583602,0.585333333333333
"K10_H_N_11","M1_91","M1","KL","AC10","H","Heat","N","Native","M1.KL.AC10.H.N",33.1570342466512,0.236365631347891,0.316178308410042,0.544
"K10_H_N_12","M1_50","M1","KL","AC10","H","Heat","N","Native","M1.KL.AC10.H.N",21.7643812971419,0.188473081039922,0.223375061005682,0.562666666666667
"K10_H_N_13","M4_79","M4","KL","AC10","H","Heat","N","Native","M4.KL.AC10.H.N",16.2838247646129,0.132431008347602,0.249936735308313,0.545666666666667
"K10_H_N_14","M4_88","M4","KL","AC10","H","Heat","N","Native","M4.KL.AC10.H.N",28.021709621683,0.209606911187713,0.469351234366623,0.521666666666667
"K10_H_N_15","M4_27","M4","KL","AC10","H","Heat","N","Native","M4.KL.AC10.H.N",17.4489824526308,0.134800601680856,0.154104115085208,0.577666666666667
"K10_H_N_16","M4_6","M4","KL","AC10","H","Heat","N","Native","M4.KL.AC10.H.N",18.1826002561977,0.153861381792541,0.167616950109276,0.559
"K10_H_N_17","M8_35","M8","KL","AC10","H","Heat","N","Native","M8.KL.AC10.H.N",30.6972569052798,0.483742245954423,0.560842294577756,0.544666666666667
"K10_H_N_18","M8_55","M8","KL","AC10","H","Heat","N","Native","M8.KL.AC10.H.N",25.9503181763177,0.466831784143171,0.436805434252616,0.548333333333333
