"Timepoint","Predictor","DF","SS","F","EffectSize","p","p_DISP"
"TP1","Origin",1,0.279,2.712,0.034,0.015,0.318
"TP1","Site",1,0.372,3.62,0.052,0.001,0.082
"TP1","Origin x Site",1,0.343,3.338,0.046,0.006,0.641
"TP1","KL Origin",1,0.059,0.645,-0.015,0.413,0.71
"TP1","SS Origin",1,0.563,4.938,0.141,0.001,0.97
"TP2","Origin",1,0.035,0.42,-0.012,0.686,0.282
"TP2","Site",1,2.083,25.239,0.336,0.001,0.446
"TP2","Origin x Site",1,0.276,3.346,0.047,0.027,0.606
"TP2","KL Origin",1,0.181,2.527,0.06,0.043,0.767
"TP2","SS Origin",1,0.129,1.387,0.016,0.158,0.5
"TP3","Origin",1,0.105,0.785,-0.004,0.344,0.157
"TP3","Site",1,1.402,10.474,0.165,0.001,0.806
"TP3","Origin x Site",1,0.102,0.765,-0.005,0.372,0.413
"TP3","KL Origin",1,0.175,1.514,0.021,0.179,0.578
"TP3","SS Origin",1,0.032,0.213,-0.034,0.782,0.178
"TP4","Origin",1,0.02,0.13,-0.019,0.94,0.661
"TP4","Site",1,2.545,16.227,0.249,0.001,0.546
"TP4","Origin x Site",1,0.229,1.459,0.01,0.178,0.742
"TP4","KL Origin",1,0.068,0.377,-0.028,0.663,0.783
"TP4","SS Origin",1,0.182,1.349,0.015,0.156,0.378
