"Timepoint","Predictor","DF","SS","F","EffectSize","p","p_DISP"
"T1","Origin",1,0.279,2.712,0.034,0.013,0.318
"T1","Site",1,0.372,3.62,0.052,0.004,0.082
"T1","Origin x Site",1,0.343,3.338,0.046,0.004,0.641
"T1","KL Origin",1,0.059,0.645,-0.015,0.413,0.71
"T1","SS Origin",1,0.563,4.938,0.141,0.001,0.97
"T2","Origin",1,0.035,0.42,-0.012,0.655,0.282
"T2","Site",1,2.083,25.239,0.336,0.001,0.446
"T2","Origin x Site",1,0.276,3.346,0.047,0.034,0.606
"T2","KL Origin",1,0.181,2.527,0.06,0.046,0.767
"T2","SS Origin",1,0.129,1.387,0.016,0.165,0.5
"T3","Origin",1,0.105,0.785,-0.004,0.367,0.157
"T3","Site",1,1.402,10.474,0.165,0.001,0.806
"T3","Origin x Site",1,0.102,0.765,-0.005,0.41,0.413
"T3","KL Origin",1,0.175,1.514,0.021,0.169,0.578
"T3","SS Origin",1,0.032,0.213,-0.034,0.785,0.178
"T4","Origin",1,0.02,0.13,-0.019,0.921,0.661
"T4","Site",1,2.545,16.227,0.249,0.001,0.546
"T4","Origin x Site",1,0.229,1.459,0.01,0.174,0.742
"T4","KL Origin",1,0.068,0.377,-0.028,0.681,0.783
"T4","SS Origin",1,0.182,1.349,0.015,0.163,0.378
