"Timepoint","Response","Predictor","Estimate","SE","DF","t","p","EtaSq"
"TP1","Protein","Origin",4.56,35.06,42,0.13,0.897,0.103
"TP1","Protein","Site",97.406,35.06,42,2.778,0.008,0.054
"TP1","Protein","Origin x Site",-117.865,49.582,42,-2.377,0.022,0.119
"TP1","Biomass","Origin",-0.175,0.133,42,-1.314,0.196,0.157
"TP1","Biomass","Site",0.149,0.133,42,1.123,0.268,0.01
"TP1","Biomass","Origin x Site",-0.177,0.188,42,-0.941,0.352,0.021
"TP1","Chlorophyll","Origin",0.076,0.081,42,0.934,0.355,0.165
"TP1","Chlorophyll","Site",0.544,0.081,42,6.715,0,0.4
"TP1","Chlorophyll","Origin x Site",-0.481,0.115,42,-4.201,0,0.296
"TP2","Protein","Origin",-31.44,34.178,42,-0.92,0.363,0.004
"TP2","Protein","Site",85.508,34.178,42,2.502,0.016,0.32
"TP2","Protein","Origin x Site",43.753,48.335,42,0.905,0.371,0.019
"TP2","Biomass","Origin",-0.222,0.091,42,-2.436,0.019,0.008
"TP2","Biomass","Site",0.017,0.091,42,0.191,0.849,0.19
"TP2","Biomass","Origin x Site",0.371,0.129,42,2.874,0.006,0.164
"TP2","Chlorophyll","Origin",-0.247,0.17,42,-1.46,0.152,0.011
"TP2","Chlorophyll","Site",0.557,0.17,42,3.284,0.002,0.565
"TP2","Chlorophyll","Origin x Site",0.659,0.24,42,2.75,0.009,0.153
"TP3","Protein","Origin",-59.408,47.969,42,-1.238,0.222,0.026
"TP3","Protein","Site",65.746,47.969,42,1.371,0.178,0.142
"TP3","Protein","Origin x Site",47.12,67.839,42,0.695,0.491,0.011
"TP3","Biomass","Origin",-0.165,0.137,42,-1.2,0.237,0.011
"TP3","Biomass","Site",0.226,0.137,42,1.648,0.107,0.211
"TP3","Biomass","Origin x Site",0.199,0.194,42,1.025,0.311,0.024
"TP3","Chlorophyll","Origin",-0.105,0.055,42,-1.896,0.065,0.02
"TP3","Chlorophyll","Site",0.18,0.055,42,3.266,0.002,0.491
"TP3","Chlorophyll","Origin x Site",0.137,0.078,42,1.749,0.088,0.068
"TP4","Protein","Origin",23.921,51.396,40,0.465,0.644,0.005
"TP4","Protein","Site",144.631,50.244,40,2.879,0.006,0.169
"TP4","Protein","Origin x Site",-81.606,72.653,40,-1.123,0.268,0.031
"TP4","Biomass","Origin",0.129,0.173,43,0.747,0.459,0.005
"TP4","Biomass","Site",0.498,0.173,43,2.882,0.006,0.127
"TP4","Biomass","Origin x Site",-0.377,0.247,43,-1.525,0.135,0.051
"TP4","Chlorophyll","Origin",-0.025,0.054,41,-0.468,0.642,0.001
"TP4","Chlorophyll","Site",0.336,0.054,41,6.172,0,0.688
"TP4","Chlorophyll","Origin x Site",0.069,0.078,41,0.886,0.381,0.019
