"Timepoint","Response","Predictor","Estimate","SE","DF","t","p","EffectSize"
"T1","Protein Host","Origin",3.3027,18.7408,42,0.1762,0.861,0.0203
"T1","Protein Host","Site",55.2614,18.7408,42,2.9487,0.0052,0.1753
"T1","Protein Host","Origin x Site",-31.3345,26.5035,42,-1.1823,0.2437,0.0322
"T1","Protein Symbiont","Origin",1.2575,26.0996,42,0.0482,0.9618,0.1098
"T1","Protein Symbiont","Site",42.1447,26.0996,42,1.6148,0.1139,1e-04
"T1","Protein Symbiont","Origin x Site",-86.5309,36.9105,42,-2.3443,0.0239,0.1157
"T1","Protein Symbiont","KL Origin",1.2575,26.5306,20,0.0474,0.9627,1e-04
"T1","Protein Symbiont","SS Origin",-85.2734,25.4938,20,-3.3449,0.0032,0.3587
"T1","Biomass Host","Origin",-0.1854,0.1059,42,-1.7508,0.0873,0.0998
"T1","Biomass Host","Site",-0.0139,0.1059,42,-0.1314,0.8961,4e-04
"T1","Biomass Host","Origin x Site",0.0477,0.1497,42,0.3187,0.7516,0.0024
"T1","Biomass Host","KL Origin",-0.1854,0.0887,20,-2.09,0.0496,0.1793
"T1","Biomass Host","SS Origin",-0.1377,0.1252,20,-1.0999,0.2844,0.057
"T1","Biomass Symbiont","Origin",0.0106,0.0615,42,0.172,0.8642,0.1154
"T1","Biomass Symbiont","Site",0.1633,0.0615,42,2.6548,0.0112,0.0316
"T1","Biomass Symbiont","Origin x Site",-0.2249,0.087,42,-2.5844,0.0133,0.1372
"T1","Biomass Symbiont","KL Origin",0.0106,0.0501,20,0.2111,0.835,0.0022
"T1","Biomass Symbiont","SS Origin",-0.2143,0.0629,20,-3.4091,0.0028,0.3675
"T1","Chlorophyll","Origin",0.0757,0.081,42,0.9344,0.3555,0.1649
"T1","Chlorophyll","Site",0.5438,0.081,42,6.7147,0,0.4003
"T1","Chlorophyll","Origin x Site",-0.4812,0.1145,42,-4.2009,1e-04,0.2959
"T1","Chlorophyll","KL Origin",0.0757,0.0699,20,1.0828,0.2918,0.0554
"T1","Chlorophyll","SS Origin",-0.4055,0.0804,20,-5.0463,1e-04,0.5601
"T2","Protein Host","Origin",-1.9648,17.6872,42,-0.1111,0.9121,8e-04
"T2","Protein Host","Site",42.2633,17.6872,42,2.3895,0.0214,0.2481
"T2","Protein Host","Origin x Site",8.5794,25.0135,42,0.343,0.7333,0.0028
"T2","Protein Symbiont","Origin",-29.475,23.0871,42,-1.2767,0.2087,0.0125
"T2","Protein Symbiont","Site",43.2452,23.0871,42,1.8731,0.068,0.2485
"T2","Protein Symbiont","Origin x Site",35.1732,32.6501,42,1.0773,0.2875,0.0269
"T2","Protein Symbiont","KL Origin",-29.475,18.8596,20,-1.5629,0.1338,0.1088
"T2","Protein Symbiont","SS Origin",5.6982,25.2966,20,0.2253,0.8241,0.0025
"T2","Biomass Host","Origin",-0.1018,0.0692,42,-1.4721,0.1485,0.008
"T2","Biomass Host","Site",-0.1111,0.0692,42,-1.606,0.1158,0.0037
"T2","Biomass Host","Origin x Site",0.2606,0.0978,42,2.6637,0.0109,0.1445
"T2","Biomass Host","KL Origin",-0.1018,0.0628,20,-1.6224,0.1204,0.1163
"T2","Biomass Host","SS Origin",0.1588,0.0778,22,2.0402,0.0535,0.1591
"T2","Biomass Symbiont","Origin",-0.1204,0.0495,42,-2.4348,0.0192,0.0767
"T2","Biomass Symbiont","Site",0.1285,0.0495,42,2.5985,0.0129,0.3962
"T2","Biomass Symbiont","Origin x Site",0.1102,0.07,42,1.5752,0.1227,0.0558
"T2","Biomass Symbiont","KL Origin",-0.1204,0.0498,22,-2.4201,0.0242,0.2103
"T2","Biomass Symbiont","SS Origin",-0.0102,0.0437,20,-0.2346,0.8169,0.0027
"T2","Chlorophyll","Origin",-0.2475,0.1695,42,-1.4598,0.1518,0.0111
"T2","Chlorophyll","Site",0.5567,0.1695,42,3.2835,0.0021,0.5655
"T2","Chlorophyll","Origin x Site",0.6593,0.2398,42,2.7496,0.0088,0.1525
"T2","Chlorophyll","KL Origin",-0.2475,0.0945,20,-2.6202,0.0164,0.2555
"T2","Chlorophyll","SS Origin",0.4118,0.1857,20,2.2175,0.0383,0.1973
"T3","Protein Host","Origin",-28.3382,26.8694,42,-1.0547,0.2976,0.0396
"T3","Protein Host","Site",11.5104,26.8694,42,0.4284,0.6706,0.0144
"T3","Protein Host","Origin x Site",6.6946,37.999,42,0.1762,0.861,7e-04
"T3","Protein Symbiont","Origin",-31.0699,24.4571,42,-1.2704,0.2109,0.0093
"T3","Protein Symbiont","Site",54.2355,24.4571,42,2.2176,0.032,0.3062
"T3","Protein Symbiont","Origin x Site",40.425,34.5875,42,1.1688,0.2491,0.0315
"T3","Protein Symbiont","KL Origin",-31.0699,20.186,20,-1.5392,0.1394,0.1059
"T3","Protein Symbiont","SS Origin",9.3551,28.0984,20,0.3329,0.7426,0.0055
"T3","Biomass Host","Origin",-0.1229,0.0875,42,-1.4042,0.1676,0.0237
